ID	host	host2	w	fruit	seed	sugar	fruitS	seedS	sugarS	fruitS2	seed2	sugarS2	fruitxswgt	fruitxsugar	swgtxsugar	cs	hab50	hab100	hab250	system	x	y
QM62	A_chilensis	A_chilensis	0.2	5.832	28.525	14.825	1.147924019	0.291017996	-0.47093372	1.213529888	0.091822205	-0.531142926	0.464105552	-0.12369535	-0.109059716	35	1	0.32848392	0.371759891	Native	615102	5574206
QM63	A_chilensis	A_chilensis	0.24	4.99	19.18	14.46666667	-0.400051173	-0.618842828	-0.538959312	-0.461528746	-0.618782585	-0.583217149	-0.6235055	-0.668974267	-0.753790044	20	1	0.38367052	0.357769632	Native	615108	5574211
QM64	A_punctatum	Other	0.5	5.844	38.34	17.84	1.169985423	1.24663961	0.101430453	1.239286322	1.137924314	-0.042533893	1.352382617	0.556342179	1.048617461	20	1	0.360234776	0.36238378	Native	615105	5574212
QM65	R_spinosus	R_spinosus	0.5	6.444	40.52	16.98	2.273055631	1.458891787	-0.06183097	2.594609439	1.411954364	-0.191099653	1.922776188	0.753586213	1.066547764	50	1	0.336276674	0.366801893	Native	615102	5574216
QM66	R_spinosus	R_spinosus	0	4.984	16.84	15.875	-0.411081875	-0.846673147	-0.271602913	-0.472529717	-0.753134694	-0.371216884	-0.804815676	-0.404092629	-0.798729603	40	1	0.373021854	0.364432469	Native	615107	5574202
QM67	A_chilensis	A_chilensis	0.04	5.652	23.6	17.625	0.817002957	-0.188496671	0.060615097	0.833536464	-0.317379305	-0.080363335	-0.043458383	0.37903209	-0.139799833	100	1	0.465346535	0.345509893	Native	615118	5574200
QM68	R_spinosus	R_spinosus	0.5	6.23	34.68	18.9	1.879627257	0.890289625	0.302659647	2.096025976	0.71192604	0.15067919	1.229187684	1.071791121	0.922105073	45	1	0.408472012	0.362756011	Native	615112	5574193
QM70	A_chilensis	A_chilensis	0.08	5.61	34.06	17.76666667	0.739788042	0.829924326	0.087508936	0.746585338	0.643992204	-0.0554885	0.844637643	0.381114513	0.698999016	100	1	0.368421053	0.374126662	Native	615109	5574189
QM143	A_chilensis	A_chilensis	0.2	5.384	18.24	15.45	0.324298264	-0.710364409	-0.35228443	0.289839536	-0.674850778	-0.437266687	-0.585081593	-0.248892903	-0.734559158	40	1	0.320276498	0.373062899	Native	615101	5574207
QM145	R_spinosus	R_spinosus	0.32	5.536	29.16	17.2	0.603742716	0.352843745	-0.02006642	0.594963712	0.150209929	-0.153793003	0.388241134	0.211013045	0.23974265	90	1	0.373021854	0.364432469	Native	615107	5574202
QM81	R_spinosus	R_spinosus	0	5.13	21.18	15.83333333	-0.142668124	-0.42411606	-0.279512866	-0.201081997	-0.49011591	-0.377771597	-0.424221391	-0.323699645	-0.497164429	30	0.906710311	0.740605428	0.520522545	Native	615178	5573474
QM85	A_melanoxylon	Other	0	4.336	14.18	16.94	-1.602397699	-1.105659748	-0.069424524	-1.582729942	-0.884659708	-0.197831083	-1.150360516	-0.620708927	-0.919000081	40	0.929577465	0.763881402	0.536587444	Native	615177	5573484
QM86	A_melanoxylon	Other	0	4.568	13.88	12.76666667	-1.175877219	-1.134868763	-0.86168538	-1.202992405	-0.898077895	-0.812906699	-1.120813043	-1.198961704	-1.198364607	20	0.941818182	0.773173391	0.541891314	Native	615176	5573487
QM88	A_melanoxylon	Other	0	4.296	11.18	14.4	-1.675935713	-1.3977499	-0.551615237	-1.646201889	-1.00593028	-0.592764808	-1.357495789	-1.063536716	-1.270233613	40	0.987730061	0.797918949	0.532644845	Native	615168	5573488
QM91	A_melanoxylon	Other	0	4.934	20.78	18.45	-0.503004392	-0.463061414	0.217232159	-0.563689756	-0.516869397	0.067292904	-0.518510491	0.051033299	-0.284160055	100	1	1	0.548263328	Native	615119	5573510
QM92	A_chilensis	A_chilensis	0	5.2	11.08	20.9	-0.0139766	-1.407486239	0.682337374	-0.068156359	-1.009478497	0.545595054	-1.2099136	0.725344739	-0.957295732	100	1	0.734225621	0.44582147	Native	615002	5573421
QM93	R_spinosus	R_spinosus	0	4.998	17.88	26.96666667	-0.38534357	-0.745415227	1.834026476	-0.446840197	-0.695577717	1.986299284	-0.721167214	1.722592198	0.15378006	60	1	0.765267176	0.445058626	Native	615003	5573425
QM95	M_planipes	Other	0.03125	5.25	18.7	8.45	0.077945917	-0.665577252	-1.681156472	0.02789349	-0.647765104	-1.267284577	-0.585530495	-1.732200778	-1.283433047	16	0.69493844	0.448430493	0.408796077	Native	615001	5573350
QM96	G_mucronata	Other	0.2	5.08	21.35	8.9	-0.234590641	-0.407564285	-1.595728984	-0.294925917	-0.47859122	-1.228549582	-0.427229465	-1.699741728	-1.141551322	9	0.693135935	0.45232816	0.405954631	Native	615003	5573352
QM99	R_spinosus	R_spinosus	0.06	5.132	21.76	17.4	-0.138991223	-0.367645297	0.017901353	-0.197309122	-0.450417331	-0.119461122	-0.377746807	-0.01527945	-0.305295998	70	0.302681992	0.361496681	0.403841649	Transformed	615023	5573269
QM129	L_ferruginea	Other	0.4	5.66	41.04	19.18	0.831710559	1.509520747	0.355814529	0.850172114	1.479557289	0.203578071	1.479039451	0.720713736	1.506015767	25	1	0.506012951	0.275134168	Native	614994	5573071
QM13	R_spinosus	R_spinosus	0	5.64	25.68	18.14	0.794941553	0.014019168	0.158382111	0.808627107	-0.153991755	0.011017889	0.13277717	0.481934346	0.081381362	120	0.1	0.2	0.3	Transformed	613417	5572686
QM15	R_spinosus	R_spinosus	0.4	5.824	38.84	18	1.133216416	1.295321302	0.131804671	1.196388345	1.199436293	-0.014084074	1.38540677	0.578314224	1.115720423	80	0.237244898	0.40918758	0.158629904	Transformed	612995	5570853
QM16	A_luma	Other	0.2	5.722	42.8	18.34	0.945694481	1.680880303	0.196349884	0.979896213	1.714763541	0.047215203	1.673243395	0.58249741	1.496282681	60	0.114942529	0.292216078	0.168458128	Transformed	613020	5570857
QM17	L_apiculata	Other	0.1	5.866	56.86	18.64	1.210431331	3.049809483	0.253301543	1.286643953	3.948290136	0.102255361	3.037793655	0.75064866	2.71521696	150	0.140306122	0.335034014	0.163124013	Transformed	613020	5570853
QM19	R_spinosus	R_spinosus	0.4	5.36	36.8	17.52	0.280175456	1.096699999	0.040682016	0.242438522	0.953475088	-0.09867148	0.939642893	0.160882059	0.87459243	60	0	0.173044218	0.073970606	Transformed	612999	5570860
QM20	A_luma	Other	0.2	5.614	38.18	17.66	0.747141844	1.231061469	0.067259457	0.754838456	1.118408805	-0.074236309	1.202803461	0.360949018	1.005490737	60	0	0.147534014	0.078100328	Transformed	612998	5570838
QM23	A_luma	Other	0.5	5.832	51.22	19.92	1.147924019	2.500679997	0.496295288	1.213529888	2.976641233	0.347127011	2.501671186	1.011666033	2.539780207	15	0.00127551	0.136904762	0.126685291	Transformed	613083	5570631
QM24	R_spinosus	R_spinosus	0	5.414	27.93	13.95	0.379451774	0.233086782	-0.637042725	0.349388604	0.038279008	-0.656058013	0.23096014	-0.541482864	-0.256526372	50	0.971938776	0.900594732	0.862566715	Native	613073	5570614
QM25	A_punctatum	Other	0.4	5.076	25.76	19.04	-0.241944443	0.021808239	0.329237088	-0.302393724	-0.147432178	0.17703139	-0.08393714	0.265570231	0.190609008	70	0.00127551	0.174393875	0.291388315	Transformed	613089	5570612
QM26	R_spinosus	R_spinosus	0.24	5.162	27.86	15.15	-0.083837713	0.226271345	-0.409236089	-0.140539525	0.032054008	-0.482811004	0.117045899	-0.439119364	-0.112625049	40	0	0.065901361	0.272395991	Transformed	613093	5570633
QM27	R_spinosus	R_spinosus	0.32	5.934	27.96	15.15	1.335445954	0.236007684	-0.409236089	1.434147109	0.040951647	-0.482811004	0.457283352	0.007772398	-0.105907836	30	0	0.004251701	0.254144653	Transformed	613096	5570662
QM35	R_spinosus	R_spinosus	0.6	5.296	33.08	18.7	0.162514633	0.73450821	0.264691875	0.117071134	0.539112286	0.113370556	0.60009819	0.356820853	0.758692796	120	0.353767561	0.453231293	0.405781259	Transformed	613212	5570406
QM133	R_spinosus	R_spinosus	0.4	5.372	19.98	14.025	0.30223686	-0.540952121	-0.62280481	0.266112558	-0.568846143	-0.645648681	-0.444554984	-0.54847522	-0.741602256	50	1	0.958115183	0.860535544	Native	614628	5571874
QM135	R_spinosus	R_spinosus	0.12	4.79	21.26	16.66666667	-0.767741242	-0.416326989	-0.121313813	-0.821095263	-0.484704003	-0.243404286	-0.529180685	-0.376874662	-0.412996051	35	1	1	0.925401622	Native	614645	5571565
QM136	R_spinosus	R_spinosus	0	5.208	9.72	20.03333333	0.000731003	-1.539900441	0.517810359	-0.052850149	-1.054569216	0.369591792	-1.317586011	0.559270562	-1.120672539	35	0.913265306	0.638180272	0.65053437	Native	615444	5571303
QM138	P_absinthioides	P_absinthioides	0.12	4.644	18.4	20.7	-1.036154993	-0.694786268	0.644369601	-1.074292593	-0.665506185	0.504317416	-0.781430906	0.245844911	-0.295293337	30	0.172413793	0.237771161	0.211817575	Transformed	615484	5570917
QM139	R_spinosus	R_spinosus	0.4	6.056	40.92	20.04	1.559736897	1.497837141	0.519075951	1.703046245	1.463880103	0.370917219	1.718039984	1.209927971	1.651841804	200	0.929757344	0.616071429	0.69877323	Native	615437	5571283
QM141	R_spinosus	R_spinosus	0	5.1	30.354	23.9	-0.197821635	0.469095625	1.251853963	-0.257498646	0.263478232	1.21238767	0.286262819	1.230093466	1.232509478	80	0.932397959	0.932484076	0.933592092	Native	613108	5570643
QM146	M_planipes	Other	0	5.262	22.58	19.2	0.100007322	-0.287807322	0.359611306	0.051082222	-0.392461856	0.20738633	-0.267774468	0.433056634	-0.061826957	35	0.095785441	0.297193878	0.158073723	Transformed	613029	5570864
QM157	R_spinosus	R_spinosus	0.1	5.05	34.804	24.2	-0.289744152	0.902362684	1.308805622	-0.350791083	0.725659863	1.283978573	0.608850238	1.242320536	1.750360928	200	1	0.84386174	0.554152755	Native	613691	5569432
QM102	N_dombeyi	Other	0.6	5.182	24.46	17.45	-0.047068706	-0.10476416	0.027393296	-0.1025093	-0.251497249	-0.110816135	-0.145607884	0.027863002	-0.091573348	20	1	0.933673469	0.614370748	Native	616941	5573592
QM103	A_luma	Other	0.24	5.016	20.18	12	-0.352251464	-0.521479444	-1.007228508	-0.413704929	-0.556043235	-0.907109898	-0.538610088	-1.127362021	-0.910350616	45	1	0.890212766	0.60012147	Native	616929	5573600
QM105	N_dombeyi	Other	0.571428571	5.366666667	23.76666667	8	0.292431791	-0.17226944	-1.76658396	0.255584228	-0.304795658	-1.304010264	-0.13335302	-1.786808655	-1.141026655	13	1	1	0.709722475	Native	618889	5573035
QM109	P_absinthioides	P_absinthioides	0.8	5.546	49.08	18.98	0.62212722	2.292322355	0.317846756	0.615335471	2.634504558	0.165713776	2.09345127	0.594785615	2.146218036	25	0.746496815	0.717687075	0.722458399	Native	619857	5572217
QM110	P_absinthioides	P_absinthioides	0.54	5.43	19.26	15.24	0.40886698	-0.611053757	-0.392150592	0.381283405	-0.613880754	-0.469241476	-0.486901394	-0.265307745	-0.682619806	50	0.639490446	0.644557823	0.754933511	Transformed	619873	5572170
QM117	P_absinthioides	P_absinthioides	1	5.313333333	22.5	15.8	0.194381106	-0.295596393	-0.285840828	0.150876105	-0.398210413	-0.383002965	-0.256474333	-0.21955303	-0.40782328	5	0.447133758	0.529761905	0.709743838	Transformed	619890	5572061
QM120	P_absinthioides	P_absinthioides	0	5.6225	16.2	12.05	0.762768671	-0.908985713	-0.997736565	0.772395863	-0.786840517	-0.90114399	-0.694684774	-0.838530929	-1.11851771	16	1	1	1	Native	622773	5571247
QM125	P_absinthioides	P_absinthioides	0.25	5.206666667	15.85	21.63333333	-0.001720264	-0.943062897	0.82155254	-0.055402818	-0.804721073	0.700342097	-0.826443223	0.876561327	-0.463740937	7	1	0.991071429	0.860439694	Native	622091	5571867
QM140	N_dombeyi	Other	0.04	5.556	27.86	10.4	0.640511723	0.226271345	-1.310970689	0.635743996	0.032054008	-1.084921262	0.286028208	-1.219431857	-0.699372491	30	1	1	1	Native	622529	5570651
QM155	P_absinthioides	P_absinthioides	0	5.46	19.92	27.82	0.46402049	-0.546793924	1.996022306	0.441339837	-0.572662149	2.21824433	-0.422531082	2.376656374	0.473060053	25	0.517197452	0.579506803	0.741645946	Transformed	619893	5572081
QM156	P_absinthioides	P_absinthioides	0	4.8675	17.6625	35.3	-0.62526134	-0.766591763	3.416017002	-0.68350845	-0.707900027	4.560639158	-0.773385483	3.138003535	0.780375206	120	0.685350318	0.486394558	0.622601409	Native	619913	5572024
QM160	P_absinthioides	P_absinthioides	0.067	4.808333333	17.99166667	17.53333333	-0.734036319	-0.734542983	0.043213201	-0.788747247	-0.689192729	-0.0963527	-0.76510771	-0.205971643	-0.585379884	65	0.663265306	0.707306712	0.72101625	Transformed	619851	5572212
